Jones,MN,2976.64
Stark,CA,0
Peoples,NY,7855.8
Rivera,WI,13897.98
Landers,AR,3639.53
Bookman,MO,1125.83
Phelps,MS,4705.34
Pagan,IL,4916.37
Chumley,MS,0
Jarvis,IL,7038.1
Beecher,NY,9899.91
Williams,OR,10686.84
Bennett,UT,3313.05
Horton,NJ,4105.28
Newell,OK,2764.44
Gore,FL,0
Brassard,ND,9803.06
Denning,TX,15326.21
Witte,IL,0
Creamer,TX,3635.75
Delvecchio,NY,1073.3
Pettit,FL,11064.04
Tunstall,PA,0
Matney,NC,15339.19
Haskell,VA,6567.04
Davis,CA,3903.58
Holmes,CO,0
Mitchell,NY,13050.27
Baker,NJ,0
Jackson,CA,4207.37
White,SC,3641.7
Acosta,MI,4896.76
Duggan,PA,16334.94
Douglas,IL,3126.37
Sherman,IL,4195.85
Miller,FL,0
Campbell,VA,0
Schaper,SC,2210.2
Lewin,PA,4353.66
Adams,PA,4006.85
Gowan,MA,10323.38
Poulsen,NM,10917.67
Koenig,TX,4626.81
Johnston,IL,7326.18
Ramsey,CO,7629.95
Miller,NE,3256.13
Collier,NE,5067.66
Pritchard,NE,15887.67
Steiger,PA,0
Reed,CA,0
Brown,IN,5148.47
Handy,FL,0
Guyton,OR,9427
Ramsey,PA,17797.79
Daniels,MS,0
Levy,PA,16277.84
Niebuhr,MO,0
Stoudt,MI,7120.57
Gagnon,MI,4749.5
Mertz,IN,5854.21
Gordon,AR,8153.08
Edwards,GA,0
Robles,CA,0
Cypert,WI,5788.54
Rich,FL,4661.93
Smith,KY,3714.83
Kohler,IN,0
Goodwin,HI,0
Mclean,NJ,19234.71
Hailey,FL,9821.94
Ruby,WI,8986.8
Shelton,PA,8050.22
Torpey,ID,13763.71
Collins,MA,6782.23
May,NM,14935.56
Baltzell,MD,5566.59
Dew,FL,7984.84
Truluck,CT,5657.37
Brown,MI,4151.76
Rude,IN,2314.01
Sanders,NE,4035.8
Martin,FL,4551.1
Collazo,FL,12104.08
Patterson,MN,1542.1
Valdivia,DE,10531
Kimble,TX,0
White,MA,6849.2
Weber,GA,4598.62
Giles,TX,1369.86
Price,AK,0
Rey,PA,3048.15
Provencher,NC,0
Moorhouse,NY,2698.81
Gabriel,CA,2884.66
Bell,NY,0
Sechrist,ND,2520.89
Edens,CA,0
Cumberbatch,IL,1682.25
Mcgee,MI,7136.76
Woodson,CA,5599.87
Browning,FL,5825.58
Pugliese,GA,11660.55
Bollinger,CT,8005
Mccoy,OH,0
Johnson,NY,1371.85
Fenster,TN,0
Warren,IN,0
Davis,TX,8306.2
Richey,CO,5969.36
Owens,FL,6690.21
Baumgardner,OH,4610.87
Booth,VA,9296.71
Black,MD,0
Snyder,IL,0
Clark,CA,10218.5
Brock,TX,12643.81
Barlow,MA,6945.33
Harlow,WI,7692.05
Taylor,NY,7022.12
Nolan,TX,3061.75
Muller,IL,11574.77
Kuehner,NC,21042.04
Pulliam,MD,0
Love,LA,9598.4
Brown,WA,6181.03
Meeks,SC,8992.39
Berry,SC,3466.7
Vega,TN,12138.12
Stebbins,TN,3243.28
Samples,VA,3724.39
Reynolds,FL,8577.69
Enright,IA,18946.32
Tirado,MN,4476.2
Marquez,MI,9538.58
Montoya,NH,2433.3
Trevino,OH,0
Monsen,SC,5437.87
Mccleary,CA,4746.95
Shanklin,IN,0
Taylor,NE,4973.97
Calhoun,TX,0
Ortega,MS,13484.22
Foreman,MN,14356.54
Taylor,TX,0
Zuniga,FL,5123.85
Mayers,FL,10840.89
Andrews,AZ,3992.57
Olson,NY,0
Edwards,PA,6311.92
Warren,MI,2051.57
Stanton,AK,9816.52
Bellino,TX,1761.5
Johnson,NY,8798.73
Murray,AZ,4651.71
Mazur,CA,0
Carr,IA,12734.14
Cuevas,NC,0
Maxie,MA,2947.94
Sims,OK,1988.47
Hopper,IL,1071.22
Perry,CA,0
Hitt,OR,3261.88
Wood,FL,1458.63
Dey,WA,4479.36
Deegan,FL,19070.56
Deckard,WI,4713.76
